Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
apps_proc/core/kernel/rtos/threadx/src/tx_trace_initialize.c,36,0,48,0,84,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_timer_thread_entry.c,496,0,0,0,496,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_create.c,512,0,0,0,512,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_mutex_create.c,428,0,0,0,428,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_create.c,676,0,0,0,676,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_shell_entry.c,104,0,0,0,104,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_create.c,404,0,0,0,404,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_get.c,732,0,0,0,732,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_info_get.c,348,0,0,0,348,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_set.c,1072,0,0,0,1072,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_cleanup.c,248,0,0,0,248,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_low_power.c,676,0,24,0,700,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_trace_interrupt_control.c,244,0,0,0,244,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_event_flags_set.c,104,0,0,0,104,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_terminate.c,508,0,0,0,508,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_mutex_cleanup.c,328,0,0,0,328,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_mutex_priority_change.c,372,0,0,0,372,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_timer_system_deactivate.c,88,0,0,0,88,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_identify.c,76,0,0,0,76,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_delete.c,68,0,0,0,68,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_priority_change.c,100,0,0,0,100,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_relinquish.c,40,0,0,0,40,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_resume.c,44,0,0,0,44,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_suspend.c,44,0,0,0,44,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_terminate.c,68,0,0,0,68,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_event_flags_delete.c,452,0,0,0,452,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_time_slice.c,356,0,0,0,356,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_timer_expiration_process.c,40,0,0,0,40,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_timeout.c,100,0,0,0,100,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_event_flags_create.c,256,0,0,0,256,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_event_flags_delete.c,112,0,0,0,112,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_event_flags_get.c,172,0,0,0,172,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_event_flags_info_get.c,84,0,0,0,84,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_mutex_create.c,292,0,0,0,292,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_mutex_delete.c,112,0,0,0,112,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_thread_info_get.c,88,0,0,0,88,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_info_get.c,416,0,0,0,416,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_byte_allocate.c,648,0,0,0,648,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_sleep.c,488,0,0,0,488,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_timer_system_activate.c,156,0,0,0,156,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_trace_enable.c,1312,0,0,0,1312,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_thread_suspend.c,432,0,0,0,432,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_queue_create.c,348,0,0,0,348,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_queue_delete.c,116,0,0,0,116,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_queue_flush.c,44,0,0,0,44,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_queue_receive.c,152,0,0,0,152,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_queue_send.c,152,0,0,0,152,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_mutex_prioritize.c,540,0,0,0,540,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_mutex_get.c,176,0,0,0,176,0,0
apps_proc/core/kernel/rtos/threadx/src/txe_mutex_put.c,104,0,0,0,104,0,0
apps_proc/core/kernel/rtos/threadx/src/tx_mutex_get.c,768,0,0,0,768,0,0
